     wave         flux        err
3910.2097     7.392472  2.8243115
3911.1091     5.986964   2.795598
 3912.011     9.806837  2.7631803
3912.9111     10.86381  2.7193966
3913.8132     6.725221  2.6944294
3914.7136    3.9709892  2.6114404
3915.6143     8.896756  2.7313778
 3916.517    6.5537014  2.6660168
3917.4182     9.867996  2.5877874
3918.3215    4.4593406  2.4405968
 3919.223    1.5006973   2.338863
3920.1267     7.188737    2.37918
3921.0286     9.090627   2.330249
3921.9307     4.983484  2.2321246
 3922.835      8.27559  2.2991085
3923.7373    5.6575418   2.226988
 3924.642     5.038336  2.2379353
3925.5452     8.901237    2.25796
3926.4502    6.4826765  2.1810286
3927.3535    7.9431896  2.2212226
 3928.257    7.2402515   2.228078
3929.1628    5.0077243  2.2327738
3930.0667    5.6053643  2.2903414
3930.9731    2.5606508  2.2524624
3931.8774     9.380753   2.375337
 3932.784       8.4269  2.3462489
3933.6887    11.105773  2.3770313
3934.5938    5.4313736   2.225728
 3935.501    5.9635224  2.1606395
3936.4062     6.948473   2.142106
3937.3142    5.5785165  2.1020775
  3938.22    5.8589625  2.1348515
 3939.128    7.4607487  2.2168722
3940.0342     9.074474  2.2794023
3940.9407    5.7032146  2.2474644
3941.8494     7.975793  2.2967951
 3942.756    6.5542455  2.2946038
3943.6653    10.347393  2.2857833
3944.5725     6.210315  2.1994107
3945.4822    3.7374332  2.1645343
  3946.39    5.7998405  2.2008119
3947.2979     6.114377   2.180951
 3948.208     8.794654  2.2064307
3949.1162     9.802583   2.435545
3950.0269    10.014972   2.492666
3950.9355    1.9202198  2.3058286
3951.8467     7.860271  2.5346744
3952.7559     8.317376  2.3128803
 3953.665     9.410327  2.3791697
 3954.577    7.1249886  2.4426475
3955.4866    5.4288554  2.4778442
3956.3987    9.0301695   2.525513
3957.3088    7.7487993   2.494524
3958.2214     9.735252  2.4917886
 3959.132     6.011171  2.4054332
 3960.045    2.2772217  2.3287907
 3960.956    3.6066105   2.403462
3961.8672    14.352851  2.5901709
3962.7808    10.838375  2.5796666
3963.6924    2.2358036  2.4895706
3964.6064    6.9132338  2.5815108
3965.5186    12.315047  2.7446122
3966.4329    5.6256647  2.6371472
3967.3455     5.954914  2.5704372
 3968.258      7.83178  2.4721675
 3969.173     5.891349   2.344188
3970.0862    4.7933254  2.2428153
3971.0017    3.7328427   2.117832
3971.9153    4.5294313  2.1129105
3972.8313    4.3908753   2.117151
 3973.745    1.3396682  2.2171075
3974.6592    1.6353436  2.1632988
 3975.576    5.4738965  2.2401907
3976.4905    4.6519275  2.0614655
3977.4075     8.261765  2.1660907
3978.3225    6.5318494  2.1153455
3979.2397     5.622218  2.0800533
3980.1553   10.8049345  2.1317265
3981.0708    11.272697  2.1279838
3981.9888    6.2920537  2.0625808
 3982.905     5.662668  2.0791893
3983.8232     9.271958  2.4856374
3984.7397     9.724931   2.400821
3985.6587    5.8561587  2.2530985
3986.5757     8.066223   2.072452
3987.4927     7.410138  1.9436935
 3988.412     6.872548  1.8993028
3989.3298    7.6038814  1.8981534
3990.2498     8.165096  1.9509377
3991.1677     7.722305  1.9840174
 3992.088     5.663526  1.9630816
3993.0063    5.0150266  1.9513172
 3993.925    11.021303  2.0279408
 3994.846    11.028539   2.018273
 3995.765     11.06815  1.9904041
3996.6863    10.202464  1.9319936
3997.6057      8.41853  1.8563707
3998.5276    7.2782826  1.8511053
3999.4475     9.484268  1.9272648
4000.3674     9.745511  2.0358214
  4001.29     6.917482  2.0695071
4002.2104     9.966926  2.1157758
4003.1333    3.7648277  2.0111864
4004.0544    6.2986846   2.041117
4004.9775      9.72483  2.0935347
 4005.899    5.6125574  1.9460226
4006.8206    10.788826  1.9959333
4007.7446    16.634947   2.117172
4008.6665     17.09272  2.1847396
4009.5908     18.68132  2.2417672
4010.5132    21.750208  2.3148923
 4011.438    19.358625  2.2917442
4012.3608    19.527487   2.245686
 4013.284    14.556007  2.1255739
4014.2095     9.049872  1.9318081
4015.1328    5.8495064  1.8218644
4016.0588    3.5558076  1.7393961
4016.9827     2.225742  1.6964166
 4017.909    4.1575027  1.6751026
4018.8333    5.7378774  1.7204994
4019.7578    3.3317127    1.87557
4020.6848    4.8228936  1.9515289
4021.6096    10.671095  1.8417865
 4022.537     8.832105   1.828998
4023.4624     9.167405  1.8359655
4024.3901    5.1501613  1.7838699
4025.3162     8.083914    1.86894
4026.2422    10.264773  1.9304739
4027.1704    7.0125813  1.8675579
 4028.097    5.4013057  1.8180884
 4029.026    7.0709014  1.8611909
4029.9526    5.2593384  1.7994181
 4030.882     6.589609  1.7864004
4031.8093     6.219316  1.7381846
 4032.739    3.1369598  1.6722203
4033.6667     3.804203  1.6957732
4034.5947     5.703919  1.7741551
4035.5251     7.339594  1.8447154
4036.4534    7.7936687   1.904682
4037.3843    6.4893074  1.9354565
 4038.313     5.199402  1.9408004
4039.2441    6.1514535   1.924094
4040.1736     8.020609  1.9563243
 4041.103     9.044236  2.0778863
4042.0347    3.5930498   2.093688
4042.9646     8.382794  2.1564147
 4043.897     9.424965  2.1287549
4044.8271     8.294765   2.096004
  4045.76     8.007892  2.0809178
4046.6907     6.946517  2.1273952
4047.6216     5.586477   2.213131
 4048.555    4.8849497  2.3417914
4049.4863     5.866086   2.258445
4050.4202    6.0008683  2.0383792
 4051.352    7.8275437  1.9257793
4052.2861     8.895876  1.8802446
4053.2185     8.478538  1.8620281
 4054.151     9.424519  1.8835071
4055.0857     9.087122   1.873494
4056.0186    5.7681727  1.8019927
4056.9539     4.920901  1.7911857
4057.8872     8.404408  1.8755156
 4058.823    7.6868644  1.8345989
4059.7566    5.4169517  1.8047523
4060.6907     9.498164  1.8744111
 4061.627     6.349631  1.8645381
4062.5613     8.131927  1.9319451
4063.4983    6.9302936  1.9556352
 4064.433     7.254649  1.9896035
  4065.37     9.526902  2.0307071
4066.3054     9.025089  1.9754827
 4067.241    11.493195  1.9686565
4068.1787    7.8612385   1.832226
4069.1147     5.850791  1.8227533
 4070.053     9.361882  1.9040216
4070.9893     8.215922  1.9204153
 4071.928     8.004679  1.9375741
4072.8647     5.698676  1.8633357
4073.8018    5.7031703  1.8284162
4074.7412    5.8852205  1.9394368
4075.6787     4.481556  1.9191285
4076.6184     9.400607  1.7988648
4077.5562    10.175525  1.8314466
4078.4966     8.976016  1.8024302
4079.4348    6.7935467  1.7222924
4080.3733     7.080109  1.7111611
